	group	line	environment
AAAA_F1_REP1	AAtoAA	Ambient	AA
AAAA_F1_REP2	AAtoAA	Ambient	AA
AAAA_F1_REP3	AAtoAA	Ambient	AA
AAAA_F1_REP4	AAtoAA	Ambient	AA
AAHH_F1_REP1	AAtoHH	Ambient	HH
AAHH_F1_REP2	AAtoHH	Ambient	HH
AAHH_F1_REP3	AAtoHH	Ambient	HH
AAHH_F1_REP4	AAtoHH	Ambient	HH
HHAA_F1_REP1	HHtoAA	Combined	AA
HHAA_F1_REP2	HHtoAA	Combined	AA
HHAA_F1_REP3	HHtoAA	Combined	AA
HHAA_F1_REP4	HHtoAA	Combined	AA
HHHH_F1_REP1	HHtoHH	Combined	HH
HHHH_F1_REP2	HHtoHH	Combined	HH
HHHH_F1_REP3	HHtoHH	Combined	HH
HHHH_F1_REP4	HHtoHH	Combined	HH
