index,Spirochaetes,Bacteroidetes,Proteobacteria,unknownA,Fusobacteria,unknownB,Tenericutes,Firmicutes,Actinobacteria,Cyanobacteria,TM6,GN02,Chlamydiae,Thermi,Fibrobacteres,H-178,ZB3,Chlorobi,Lentisphaerae,Planctomycetes,Nitrospirae,WWE1,OP8,Verrucomicrobia,SAR406,FBP,Chloroflexi,Acidobacteria,WPS-2,Gemmatimonadetes,TM7,SBR1093,WS3,OP3,forward-absolute-filepath,reverse-absolute-filepath,animalID,animal-health,site,site-status,site-animal-health
HH01_01,89410.0,4788.0,2108.0,20.0,0.0,367.0,10.0,4.0,54.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_01_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_01_R2.fq.gz,pyc01,healthy,site_01,naive,HH
HH01_02,40859.0,2958.0,379.0,4206.0,0.0,84.0,0.0,8.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_02_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_02_R2.fq.gz,pyc02,healthy,site_01,naive,HH
HH01_03,61229.0,10778.0,1481.0,528.0,0.0,175.0,3.0,3.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,0.0,12.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_03_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_03_R2.fq.gz,pyc03,healthy,site_01,naive,HH
HH01_04,59628.0,3333.0,7179.0,1739.0,15.0,234.0,0.0,53.0,26.0,372.0,657.0,5.0,0.0,0.0,418.0,2.0,129.0,13.0,127.0,4.0,0.0,4.0,2.0,33.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,/data/project_data/16S/pycno16S/HH01_04_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_04_R2.fq.gz,pyc04,healthy,site_01,naive,HH
HH01_05,37889.0,449.0,407.0,3.0,0.0,6.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_05_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_05_R2.fq.gz,pyc05,healthy,site_01,naive,HH
HH01_06,57021.0,1695.0,951.0,871.0,0.0,139.0,50.0,9.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_06_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_06_R2.fq.gz,pyc06,healthy,site_01,naive,HH
HH01_07,47310.0,3650.0,1018.0,7.0,0.0,0.0,0.0,7.0,2.0,251.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_07_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_07_R2.fq.gz,pyc07,healthy,site_01,naive,HH
HH01_08,34139.0,5574.0,972.0,25032.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,111.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_08_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_08_R2.fq.gz,pyc08,healthy,site_01,naive,HH
HH01_09,96745.0,1436.0,2054.0,388.0,384.0,107.0,204.0,51.0,0.0,258.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_09_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_09_R2.fq.gz,pyc09,healthy,site_01,naive,HH
HH01_10,32665.0,2908.0,22584.0,1493.0,175.0,104.0,1613.0,2011.0,465.0,266.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_10_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_10_R2.fq.gz,pyc10,healthy,site_01,naive,HH
